Matrix,Time(ns)
eris1176,4617.0
std1_Jac3_db,40947.0
std1_Jac3,143049.0
lp_wood1p,8304.0
jendrec1,7936.0
lowThrust_5,20940.0
hangGlider_4,16546.0
brainpc2,28723.0
hangGlider_3,10706.0
lowThrust_7,21600.0
lowThrust_11,22875.0
lowThrust_3,10591.0
lowThrust_6,21619.0
lowThrust_12,23815.0
hangGlider_5,16816.0
Journals,4143.0
bloweybl,29161.0
heart1,61826.0
TSOPF_FS_b9_c6,23877.0
Sieber,5016.0
case9,23818.0
c-30,14102.0
vsp_c-30_data_data,15563.0
c-32,12128.0
freeFlyingRobot_10,7419.0
freeFlyingRobot_11,8223.0
freeFlyingRobot_12,7572.0
lowThrust_10,23180.0
lowThrust_13,23537.0
lowThrust_4,18210.0
lowThrust_8,22204.0
lowThrust_9,22926.0
lp_fit2p,7726.0
nd12k,1876000.0
std1_Jac2_db,36143.0
std1_Jac2,98809.0
