Matrix,Time(ns)
eris1176,7481.826939897538
std1_Jac3,592628.75075
lp_wood1p,17506.070554445556
jendrec1,25301.4543978011
lowThrust_5,79012.1582104474
hangGlider_4,62198.730625
brainpc2,89543.89601299838
hangGlider_3,38419.76638781371
lowThrust_7,84736.93
lowThrust_11,90205.19385076866
lowThrust_3,31446.447552447553
lowThrust_6,83016.52824293927
lowThrust_12,90344.584375
hangGlider_5,65088.765
Journals,4016.870541282115
bloweybl,76569.728625
heart1,533867.4585
TSOPF_FS_b9_c6,61069.781581906784
Sieber,8684.399225774227
case9,61102.69028871391
c-30,25650.32093371614
vsp_c-30_data_data,49687.0942146695
c-32,25095.792660092375
freeFlyingRobot_10,19251.494501374655
freeFlyingRobot_11,19770.878526841447
freeFlyingRobot_12,20256.11795576659
lowThrust_10,89510.856375
lowThrust_13,90845.13625
lowThrust_4,63329.957885528616
lowThrust_8,86733.75971510683
lowThrust_9,88469.47331583552
lp_fit2p,17672.583614337454
nd12k,12083776.544625
std1_Jac2,494238.78140232473
