Matrix,Time(ns)
eris1176,6447.81875
std1_Jac3,344820.54375
lp_wood1p,13565.93125
jendrec1,14628.25625
lowThrust_5,39361.26875
hangGlider_4,31381.25
brainpc2,55905.99375
hangGlider_3,23081.475308641977
lowThrust_7,41991.74375
lowThrust_11,45629.11875
lowThrust_3,17996.9625
lowThrust_6,40391.05625
lowThrust_12,45101.95625
hangGlider_5,33713.16875
Journals,2930.35
bloweybl,59818.0875
heart1,255130.7875
TSOPF_FS_b9_c6,33350.55
Sieber,6660.4375
case9,33835.24375
c-30,15781.66875
vsp_c-30_data_data,27551.175
c-32,16165.15625
freeFlyingRobot_10,12176.66875
freeFlyingRobot_11,12757.2625
freeFlyingRobot_12,13144.86875
lowThrust_10,44127.075
lowThrust_13,44670.20625
lowThrust_4,33651.4875
lowThrust_8,42859.94375
lowThrust_9,43624.08125
lp_fit2p,12090.6125
nd12k,6444165.1375
std1_Jac2,298874.71875
