Filename,SABLE(ns)
eris1176,7467.61875
std1_Jac3,524157.4875
lp_wood1p,17392.75625
jendrec1,26326.025
lowThrust_5,79692.53125
hangGlider_4,67956.15625
brainpc2,105585.6375
hangGlider_3,41591.7125
lowThrust_7,87579.0875
lowThrust_11,92989.5625
lowThrust_3,32798.825
lowThrust_6,85112.54320987655
lowThrust_12,92507.38125
hangGlider_5,67080.94375
Journals,1689.6385542168675
bloweybl,88170.43125
heart1,462380.09375
TSOPF_FS_b9_c6,64907.80625
Sieber,9269.35625
case9,64913.4375
c-30,28249.722222222223
c-32,27716.9625
freeFlyingRobot_10,20608.728395061727
freeFlyingRobot_11,21457.225
freeFlyingRobot_12,21943.98125
lowThrust_10,90582.2125
lowThrust_13,91929.775
lowThrust_4,63573.4
lowThrust_8,87720.5875
lowThrust_9,90128.8875
lp_fit2p,15561.75
nd12k,11623114.95625
std1_Jac2,452699.00625
vsp_c-30_data_data,49694.725
