Filename, Time(us)
pivtol, 0.16
G37, 12.83
std1_Jac2, 814.015
thermal, 32.41
route, 117.59
de2010, 153.194
s2rmt3m1, 112.963
lp_stocfor1, 0.261
dw8192, 20.371
polbooks, 0.491
aft01, 68.986
nemeth22, 795.697
bcsstm37, 24.738
gas11, 1.152
landmark, 549.922
GD02_b, 0.14
sherman3, 10.426
lp_blend, 0.281
c-73b, 832.103
jendrec1, 45.119
Erdos982, 9.805
lowThrust_10, 123.299
G57, 9.564
Ragusa16, 0.05
oscil_dcop_31, 0.831
adder_dcop_27, 6.841
d_dyn1, 0.131
S10PI_n1, 0.681
cdde6, 2.283
rail_5177, 21.133
662_bus, 1.923
cavity18, 70.818
GL7d26, 4.016
bcsstm27, 29.415
barth4, 12.198
fs_183_3, 0.601
Roget, 3.205
bibd_17_4, 7.942
ca-HepPh, 162.559
shermanACa, 15.103
n2c6-b1, 0.12
G56, 16.175
lp_nug06, 1.082
ch3-3-b1, 0.04
lp_israel, 1.312
karate, 0.09
venkat50, 867.146
adder_dcop_60, 6.841
jgl009, 0.04
wm2, 1.572
ex6, 25.539
add20, 9.495
Maragal_3, 10.516
bfwb398, 1.773
dwt_234, 0.621
dwt_592, 2.994
cdde4, 2.283
bibd_12_4, 1.502
rbsb480, 8.553
bcsstk36, 621.26
Si2, 9.525
piston, 52.36
bratu3d, 86.472
struct4, 129.328
yeast_30NN, 31.989
gre_185, 0.551
descriptor_xingo6u, 40.843
bayer04, 84.669
adder_dcop_53, 6.841
nemeth25, 909.982
bcsstk21, 15.524
nmos3, 217.322
illc1033, 2.454
bibd_17_3, 0.991
adder_dcop_67, 6.85
c-29, 26.69
dbir2, 781.024
cavity26, 70.798
saylr1, 0.571
mcca, 1.382
spiral, 10.526
GL7d12, 23.966
Franz1, 2.694
indianpines_10NN, 90.578
gre_512, 1.202
ch6-6-b2, 3.475
sherman5, 10.426
str_200, 1.653
CAG_mat364, 7.011
ex35, 119.403
lp_cre_d, 148.528
lutz30-23-b6, 5.759
cavity12, 39.03
spaceStation_8, 10.065
dw256B, 1.262
cage9, 21.082
language, 1436.47
bips07_2476, 36.316
cfd1, 994.321
GD02_a, 0.06
n3c6-b10, 3.565
TS, 22.234
EVA, 8.103
GD06_theory, 0.201
reorientation_3, 17.937
lpi_cplex1, 5.849
lpi_woodinfe, 0.081
ASIC_320ks, 1601.27
adder_dcop_64, 6.841
Cities, 0.701
utm300, 1.672
adder_dcop_28, 6.85
bcsstk22, 0.471
GL6_D_8, 3.365
cdde3, 2.283
can_96, 0.451
mhda416, 4.417
lshp1882, 7.662
fpga_dcop_27, 3.055
bcsstm06, 0.581
bcsstm07, 4.046
deter7, 18.648
lpi_bgdbg1, 0.981
orani678, 54.022
bcsstm26, 2.665
umistfacesnorm_10NN, 3.756
lp_qap15, 45.44
oscil_dcop_24, 0.841
ri2010, 168.268
fpga_dcop_13, 3.085
fpga_dcop_01, 3.045
dwt_503, 3.435
EX3, 36.345
pds10, 95.296
jagmesh4, 5.799
reorientation_6, 20.891
ch7-6-b1, 0.631
lpi_ex72a, 0.25
cis-n4c6-b14, 6.611
oscil_dcop_42, 0.841
shermanACb, 107.094
tuma2, 29.495
lp_ken_07, 4.116
bips98_1450, 24.217
lhr04c, 43.747
lp_scsd1, 1.212
dataset18mfeatmorphological_10NN, 11.888
ash219, 0.23
c-33, 35.364
lshp1270, 5.178
lowThrust_6, 114.786
viscoplastic1, 30.527
G62, 13.381
vsp_data_and_seymourl, 62.827
problem1, 1.562
cage7, 1.612
dictionary28, 356.275
n4c5-b8, 8.162
lpi_refinery, 0.902
poli, 5.278
west2021, 3.856
dwt_162, 0.721
adder_trans_02, 8.603
lp_degen3, 14.001
ACTIVSg2000, 16.465
gr_30_30, 4.387
qh882, 1.753
nos1, 0.671
M10PI_n, 0.831
power, 9.965
adder_dcop_08, 7.021
wheel_5_1, 0.1
bcsstk03, 0.4
mario001, 115.987
GD96_d, 0.16
lp_stair, 2.103
bloweya, 81.234
oscil_dcop_54, 0.841
bibd_13_6, 17.096
c-73, 833.926
mcfe, 12.559
case9, 79.512
lpi_bgprtr, 0.05
Trec4, 0.02
gen1, 34.764
n2c6-b5, 14.182
fpga_dcop_22, 3.075
gen2, 44.558
spaceStation_10, 9.314
adder_dcop_09, 7.321
cis-n4c6-b3, 11.408
adder_dcop_11, 7.151
west0479, 1.032
CSphd, 2.053
big_dual, 53.192
Trefethen_700, 6.701
scsd8-2c, 55.845
eurqsa, 26.551
rdb200l, 0.571
192bit, 117.439
bayer05, 15.193
G35, 12.84
bcsstm22, 0.2
rajat26, 142.488
stokes64s, 73.773
fs_680_1, 1.412
c-50, 120.294
G31, 20.581
cdde1, 2.283
fpga_dcop_40, 3.044
G12, 1.552
av41092, 1147.98
SciMet, 7.562
pf2177, 14.893
S40PI_n, 2.604
Olivetti_norm_10NN, 3.015
celegansneural, 1.322
barth, 17.216
bcsstm21, 4.897
Fashion_MNIST_norm_10NN, 112.351
plantsmargin_12NN, 13.0
wang2, 9.455
mycielskian4, 0.04
lp_pds_06, 36.656
scfxm1-2b, 61.113
stufe-10, 48.714
gemat11, 17.987
t2dal, 21.182
n4c5-b4, 6.83
soc-sign-bitcoin-alpha, 14.743
lpi_vol1, 0.932
bp_0, 2.223
twotone, 666.83
G55, 15.975
adder_dcop_22, 6.85
adder_dcop_41, 6.841
Alemdar, 27.232
lp_sc50b, 0.09
can_187, 0.871
G60, 21.773
MISKnowledgeMap, 29.205
mark3jac040sc, 61.434
neos, 874.728
Tina_AskCog, 0.04
S40PI_n1, 2.604
adder_dcop_69, 6.85
fs_760_1, 2.895
sphere2, 0.28
relat4, 0.1
mycielskian6, 0.25
GL7d11, 1.252
jagmesh2, 4.117
sts4098, 41.334
polblogs, 10.786
lp_agg3, 2.634
bp_200, 2.594
bp_400, 2.634
pde225, 0.54
ts-palko, 631.015
bcsstk23, 25.87
N_biocarta, 3.525
rosen7, 4.737
dataset12mfeatfactors_10NN, 14.602
rajat07, 41.904
s3rmt3m1, 113.294
kineticBatchReactor_5, 46.912
LeGresley_2508, 9.885
comsol, 53.181
plddb, 5.308
dwt_87, 0.361
vsp_c-30_data_data, 68.444
raefsky6, 74.884
beacxc, 31.658
lp_dfl001, 21.804
delf, 8.073
nsir, 94.925
G52, 6.42
bcsstm20, 0.671
adder_dcop_32, 6.85
airfoil1, 11.898
cat_ears_2_1, 0.14
dwt_758, 3.636
l30, 25.7
impcol_c, 0.22
tumorAntiAngiogenesis_4, 2.644
qiulp, 2.304
rail_1357, 5.848
ex20, 36.135
YaleA_10NN, 1.221
n3c4-b3, 0.05
t2dah_a, 96.047
ex9, 52.56
ex23, 22.464
Chem97ZtZ, 5.559
oscil_dcop_46, 0.841
grid2, 6.409
oscil_dcop_01, 0.832
saylr3, 2.875
sx-mathoverflow, 175.949
G50, 5.749
oscil_dcop_38, 0.832
bfly, 94.765
ch7-6-b4, 36.115
can_838, 5.598
can_62, 0.17
beaflw, 33.591
cage3, 0.03
semeion_10NN, 11.818
ch6-6-b5, 2.093
OPF_3754, 91.681
cnae9_10NN, 9.775
Trefethen_200, 1.753
rel6, 3.065
mhd3200b, 11.477
spaceStation_3, 2.744
fs_183_1, 0.601
c-28, 19.349
GD01_Acap, 0.781
nemspmm2, 40.612
geom, 17.687
G25, 20.591
g7jac040, 60.273
c-45, 110.76
west0497, 0.932
aa01, 42.325
dynamicSoaringProblem_6, 20.391
sherman2, 11.918
p2756, 5.298
sctap1-2c, 10.856
L-9, 35.044
obstclae, 125.732
Erdos992, 10.095
LFAT5, 0.05
G40, 12.81
oscil_dcop_26, 0.841
bcspwr10, 15.894
G42, 12.84
G6, 19.41
cell2, 17.427
coupled, 56.767
lp_ship04s, 2.304
adder_dcop_49, 6.851
bayer06, 15.203
dw2048, 4.968
zeros_nopss_13k, 26.571
oscil_dcop_37, 0.841
bcsstk07, 4.356
rajat04, 5.488
gyro_k, 583.773
abtaha2, 66.001
ex21, 9.825
lp_stocfor2, 4.708
fpga_dcop_09, 3.145
west0156, 0.21
can_1054, 6.981
cage, 2.464
gas_sensor, 918.075
bcsstm35, 32.059
model10, 84.84
ODLIS, 11.067
Franz6, 21.713
swang1, 10.476
n4c6-b4, 48.003
d_pretok, 921.96
dynamicSoaringProblem_7, 20.922
adder_dcop_04, 7.432
GD01_c, 0.08
G24, 20.572
S20PI_n, 1.432
bibd_15_7, 95.076
vt2010, 225.014
145bit, 6.049
spaceStation_4, 7.241
mk11-b1, 0.982
lp_scorpion, 0.781
bfwa782, 3.696
bfwb782, 3.475
lp_qap12, 18.298
spaceStation_13, 12.689
lp_kb2, 0.17
bcsstm03, 0.161
p2p-Gnutella09, 17.056
nos2, 2.684
oscil_dcop_15, 0.841
Sandi_sandi, 0.381
n3c6-b3, 2.634
reorientation_2, 10.035
adder_dcop_24, 6.841
rotor1, 0.411
lpi_klein1, 0.42
lp_standmps, 2.093
lp_grow22, 4.126
cavity05, 16.815
jagmesh1, 3.826
nos4, 0.38
cavity03, 3.776
Erdos991, 1.733
GL7d25, 43.667
lp_beaconfd, 1.903
oscil_dcop_08, 0.841
curtis54, 0.17
pores_2, 4.927
ch5-5-b4, 0.3
car4, 33.001
fpga_dcop_07, 3.175
gemat12, 18.098
LeGresley_4908, 16.815
rdb2048_noL, 5.809
fpga_dcop_33, 3.044
lpi_bgindy, 42.065
gen4, 57.809
fs_760_3, 2.945
Trec10, 4.787
scsd8-2r, 94.053
rdb5000, 14.492
t60k, 86.833
fpga_dcop_23, 3.045
cavity16, 70.809
c-37, 44.608
dwt_245, 1.022
ch7-8-b3, 112.583
ex14, 36.676
email-Eu-core-temporal, 13.861
delaunay_n15, 223.151
Franz9, 46.772
fxm2-16, 17.967
mk10-b3, 9.034
lp_share2b, 0.411
goddardRocketProblem_2, 5.008
b2_ss, 2.243
dwb512, 1.262
lp_fffff800, 3.465
crystm01, 56.697
Trefethen_20, 0.1
scsd8-2b, 55.755
lp_ship08s, 3.786
rdb2048, 5.809
robot24c1_mat5, 7.812
aug2dc, 38.99
lock_700, 11.728
n2c6-b2, 0.671
ex33, 12.378
ncvxqp9, 32.66
lshp2233, 9.104
t2dal_a, 21.183
t2dal_e, 5.789
sherman4, 2.003
jgl011, 0.05
lp_pds_02, 9.455
cz5108, 26.6
pde900, 2.113
wing_nodal, 107.865
G4, 19.4
fd12, 13.701
netscience, 3.606
shyy41, 9.685
lhr01, 9.504
stufe, 2.034
TF11, 0.912
pde2961, 7.031
data, 15.053
lp_80bau3b, 12.53
cat_ears_4_1, 0.511
mimo46x46_system, 26.42
karted, 1119.45
lap_25, 0.111
c-36, 41.514
kineticBatchReactor_2, 25.539
testbig, 30.587
kineticBatchReactor_6, 47.974
dwt_307, 1.512
olm500, 0.972
G54, 6.44
fpga_dcop_45, 3.044
IG5-9, 2.444
rajat19, 2.984
pgp2, 10.746
lp_sctap2, 3.636
162bit, 19.791
watt_1, 5.809
mult_dcop_01, 161.687
GL6_D_10, 1.102
adder_dcop_07, 7.141
bcsstm34, 12.649
n3c5-b2, 0.19
M40PI_n1, 2.544
lp_modszk1, 1.683
Trec12, 99.111
fs_183_6, 0.601
bcsstm12, 11.117
dawson5, 554.758
n3c5-b7, 0.13
bp_1400, 2.995
c-21, 19.039
tuma1, 52.039
c-38, 45.66
adder_dcop_47, 6.931
rajat11, 0.431
wang4, 85.962
ch7-9-b2, 25.269
gent113, 0.351
s3rmt3m3, 107.634
GD00_c, 0.912
model6, 15.233
tumorAntiAngiogenesis_5, 2.704
freeFlyingRobot_15, 24.428
fxm3_6, 30.847
lhr10, 127.586
illc1850, 4.306
psse2, 58.65
G20, 5.098
cage4, 0.04
GD96_b, 0.12
rajat08, 54.814
kmnist_norm_10NN, 112.962
bp_600, 2.704
n3c5-b5, 0.621
fome12, 87.464
bcsstk08, 7.982
oscil_dcop_05, 0.841
Maragal_5, 56.546
IG5-7, 0.301
G3, 19.399
bips07_1998, 34.103
lshp2614, 10.666
mk11-b3, 33.101
mk11-b2, 9.935
n4c5-b10, 0.651
rajat03, 16.225
flower_4_4, 9.124
ASIC_320k, 1732.41
reorientation_4, 18.698
zed, 0.37
IG5-14, 100.924
plat362, 3.174
odepb400, 0.561
epb2, 86.152
mk9-b3, 1.823
tols1090, 1.902
oscil_dcop_43, 0.841
f855_mat9, 96.978
dwt_221, 1.042
nasa4704, 57.208
spaceStation_6, 9.325
n3c6-b11, 0.36
rw136, 0.25
air02, 43.326
can_61, 0.341
circuit_2, 11.357
Pd_rhs, 6.149
G11, 1.552
lung1, 3.685
garon1, 43.807
L, 1.883
lhr04, 44.268
cz2548, 13.29
wiki-RfA, 121.396
Franz2, 10.907
stokes64, 73.722
D_5, 1.122
Zd_Jac6, 1125.59
lp_nug30, 853.766
dwt_869, 4.357
robot24c1_mat5_J, 8.443
WorldCities, 3.986
jagmesh7, 4.467
std1_Jac3, 954.59
watt_2, 5.919
Trefethen_200b, 1.703
lp_shell, 2.133
ex25, 12.69
cat_ears_2_4, 4.517
impcol_d, 0.701
gen, 34.704
de063155, 2.654
oscil_dcop_10, 0.841
TF10, 0.361
nopss_11k, 24.507
freeFlyingRobot_11, 22.464
will57, 0.15
Trec7, 0.09
reorientation_8, 21.192
tumorAntiAngiogenesis_7, 2.664
adder_dcop_10, 7.001
e18, 81.876
raefsky4, 736.857
M40PI_n, 2.604
G64, 45.43
lpi_pilot4i, 2.705
nl, 25.149
bcsstk05, 1.342
cavity14, 39.03
spaceStation_12, 10.616
lp_finnis, 1.493
wing, 128.256
oscil_trans_01, 0.881
kineticBatchReactor_8, 48.874
bcspwr02, 0.13
adder_dcop_35, 6.88
ash608, 0.611
Goodwin_017, 51.539
cryg10000, 24.337
fv3, 49.065
DK01R, 5.829
mk11-b4, 24.838
oscil_dcop_51, 0.841
freeFlyingRobot_8, 19.57
ck400, 1.412
tols4000, 4.577
lp_nug08, 3.505
ex3, 28.203
seymourl, 20.842
watson_1, 542.63
memplus, 70.377
mk9-b2, 1.833
Oregon-1, 32.72
bcspwr01, 0.1
dw256A, 1.242
deltaX, 121.405
g7jac040sc, 60.833
lnsp_131, 0.28
model5, 54.744
rajat02, 7.992
S10PI_n, 0.822
USAir97, 2.363
kneser_6_2_1, 1.182
lp_recipe, 0.351
ch, 12.459
N_reactome, 25.999
lp_share1b, 0.631
impcol_e, 0.661
Kaufhold, 34.623
grid1, 0.481
2D_27628_bjtcai, 259.958
dwa512, 1.252
airfoil1_dual, 12.279
nh2010, 373.211
co5, 33.761
stat96v5, 129.588
bibd_14_7, 50.137
Trefethen_20b, 0.1
G16, 5.098
adder_dcop_52, 6.851
grid2_dual, 6.249
lp_greenbeb, 17.057
G66, 17.197
Sieber, 8.192
GD00_a, 0.301
oscil_dcop_50, 0.841
fpga_dcop_28, 3.045
iris_dataset_30NN, 2.794
rel4, 0.08
dynamicSoaringProblem_1, 2.995
wheel_3_1, 0.05
adder_dcop_44, 6.85
Trec11, 21.723
SiNa, 109.828
ash85, 0.36
lp_cycle, 12.029
p0291, 1.152
bayer09, 11.017
spaceStation_5, 8.122
hydr1c, 11.838
dwt_72, 0.17
aa6, 30.006
problem, 0.06
Hamrle1, 0.06
c-43, 76.898
bodyy5, 88.375
c-34, 37.878
lp_scrs8, 1.723
fome20, 133.925
gre_343, 0.791
oscil_dcop_56, 0.841
mimo28x28_system, 26.31
d_dyn, 0.131
pesa, 40.913
mahindas, 3.987
bcsstk09, 9.956
p2p-Gnutella31, 188.228
Franz4, 22.324
oscil_dcop_03, 0.841
mesh2em5, 1.322
bayer02, 31.988
psse0, 50.978
dwt_310, 1.472
n3c4-b4, 0.03
deter5, 14.923
c-20, 13.932
flowmeter5, 39.661
big, 48.073
tols2000, 2.744
Trefethen_300, 2.574
fpga_dcop_15, 3.095
ash292, 1.463
freeFlyingRobot_3, 7.311
p0282, 1.132
world, 106.422
epb0, 3.766
SmallW, 0.702
nemeth23, 904.083
tub1000, 1.933
G30, 20.592
bcspwr08, 5.228
lpi_chemcom, 0.801
adder_trans_01, 8.593
jan99jac060, 67.333
venkat01, 879.034
jan99jac020sc, 20.672
steam3, 0.461
msc01050, 15.774
lp_osa_07, 97.329
freeFlyingRobot_1, 2.994
str_600, 1.792
G21, 5.118
sherman1, 2.874
oscil_dcop_17, 0.841
jan99jac060sc, 67.313
pds-90, 602.862
fs_541_2, 2.153
dwt_59, 0.191
lp_e226, 1.532
igbt3, 124.942
netz4504_dual, 1.202
GD98_b, 0.13
can_161, 0.792
adder_dcop_59, 6.841
g3rmt3m3, 107.695
TF16, 153.545
Zhao1, 80.774
rdb450l, 1.252
G2, 19.45
c-35, 37.257
ch7-7-b1, 0.881
shermanACd, 32.5
TF13, 6.35
G23, 20.582
bcspwr05, 1.393
cavity23, 71.018
shl_200, 1.172
GD97_b, 0.15
bcspwr03, 0.351
invextr1_new, 989.273
freeFlyingRobot_4, 10.286
adder_dcop_16, 7.131
cavity10, 39.04
mnist_test_norm_10NN, 106.422
fpga_dcop_35, 3.045
G22, 20.581
fpga_dcop_32, 3.044
adder_dcop_21, 6.85
filter2D, 6.861
dendrimer, 36.135
micromass_10NN, 5.048
cca, 70.237
bcsstk24, 84.099
SmaGri, 3.375
lhr71c, 814.616
n2c6-b3, 2.634
bcsstk10, 12.168
fd18, 30.576
scrs8-2c, 3.626
c-42, 67.574
rdb200, 0.571
oscil_dcop_11, 0.832
ca-HepTh, 32.479
fpga_trans_01, 3.836
kneser_8_3_1, 25.198
df2177, 11.057
California, 15.895
model2, 4.096
lp_osa_60, 984.366
