Filename, Time(us)
skirt, 112.502
bauru5727, 80.714
c-44, 52.0
lpi_greenbea, 17.216
freeFlyingRobot_6, 15.263
fxm2-6, 7.0
ch7-7-b5, 101.476
delaunay_n14, 91.209
mesh1e1, 0.21
lowThrust_7, 117.36
lp_cre_a, 10.056
Chebyshev3, 21.492
adder_dcop_43, 6.871
GD97_a, 0.171
mhd3200a, 34.983
Hamrle2, 10.676
model9, 30.176
Trec9, 1.132
nemsafm, 1.392
lowThrust_1, 3.536
spaceStation_2, 3.085
young3c, 2.043
relat7, 41.844
rosen1, 13.511
air03, 63.477
d_ss, 0.09
Ill_Stokes, 103.638
relat3, 0.03
bibd_11_5, 2.544
lpl3, 57.157
sparsine, 851.362
wang3, 85.06
poli_large, 20.541
oscil_dcop_19, 0.841
adder_dcop_38, 6.871
LF10, 0.06
lshp_778, 3.165
lp_nug05, 0.511
cage8, 5.559
cz308, 1.673
CAG_mat1916, 115.887
tomography, 16.295
p05, 36.946
ex2, 14.643
g7jac060, 109.167
nasa2910, 96.227
jagmesh6, 5.428
impcol_b, 0.17
p2p-Gnutella08, 13.671
Maragal_4, 15.564
rdist1, 47.703
turon_m, 979.748
ACTIVSg10K, 79.041
cat_ears_3_1, 0.301
adder_dcop_29, 6.851
G13, 1.552
CollegeMsg, 11.938
denormal, 618.146
fpga_dcop_39, 3.044
tumorAntiAngiogenesis_1, 1.021
mark3jac080sc, 115.527
scrs8-2r, 28.643
crew1, 31.478
relat7b, 41.944
ex31, 59.891
lp_standgub, 1.853
gre_115, 0.23
plantstexture_10NN, 11.337
TSOPF_FS_b9_c1, 13.39
can_292, 1.563
init_adder1, 6.841
rotor2, 5.599
spaceShuttleEntry_1, 3.756
oscil_dcop_32, 0.841
n3c6-b5, 14.352
diag, 4.357
adder_dcop_01, 6.841
lpi_ceria3d, 11.357
cavity13, 39.13
p2p-Gnutella30, 60.322
lpi_reactor, 1.412
IG5-6, 0.15
adder_dcop_36, 6.86
ibm32, 0.071
abtaha1, 24.628
c-22, 17.787
raefsky5, 87.334
brainpc2, 105.571
lpi_forest6, 0.131
n4c6-b3, 11.408
epb1, 46.191
fpga_dcop_25, 3.075
g7jac050sc, 84.83
lp_fit1d, 9.234
mk10-b1, 0.631
qh768, 1.582
bcsstk26, 17.157
lp_ship04l, 3.465
lp_ganges, 3.515
cegb3306, 42.986
GD06_Java, 5.138
hi2010, 169.45
jnlbrng1, 125.301
IG5-10, 5.428
nug08-3rd, 71.119
n4c6-b1, 0.221
bwm2000, 3.856
plat1919, 17.697
oscil_dcop_41, 0.832
mycielskian10, 24.598
jan99jac040sc, 43.947
jazz, 2.835
well1033, 2.303
netz4504, 2.944
GD95_a, 0.05
LF10000, 62.185
lp_pilot_ja, 8.393
bayer07, 14.021
hangGlider_1, 2.033
ex10hs, 31.358
Chebyshev2, 10.736
G9, 19.4
boyd2, 1003.25
oscil_dcop_39, 0.831
cegb3024, 44.408
klein-b2, 0.05
bcsstk37, 627.7
c-27, 19.771
nos6, 2.084
bcsstm11, 2.043
deter6, 12.439
cavity04, 3.816
Franz5, 21.142
GD99_b, 0.14
fpga_dcop_31, 3.045
barth5, 34.503
lpi_itest6, 0.03
bcsstm05, 0.22
G28, 20.581
p2p-Gnutella04, 25.85
ash331, 0.341
mycielskian5, 0.09
west0989, 1.903
dwt_1242, 6.3
adder_dcop_66, 6.85
t2d_q4, 42.155
cavity19, 71.069
ted_B, 81.404
D_8, 8.012
adder_dcop_56, 6.851
GL6_D_9, 2.344
air06, 41.433
tub100, 0.2
dwt_1007, 4.918
lhr07, 85.962
oscil_dcop_16, 0.832
freeFlyingRobot_14, 24.327
fpga_dcop_20, 3.075
D_11, 1.542
TSOPF_FS_b9_c6, 79.532
adder_dcop_25, 6.88
lp_greenbea, 17.066
cs4, 46.471
deter3, 22.354
mark3jac020sc, 30.426
Sandi_authors, 0.131
mycielskian9, 7.751
rbsa480, 8.593
oscil_dcop_22, 0.841
adder_dcop_68, 6.85
fpga_dcop_03, 3.074
bayer03, 30.257
ch7-7-b2, 10.546
xingo3012, 41.133
mark3jac060, 92.521
lp_etamacro, 1.262
west1505, 2.924
n2c6-b8, 6.34
mhdb416, 1.492
n4c5-b7, 13.901
ex1, 2.264
deter8, 11.197
mk10-b2, 4.527
Journals, 6.84
lp_pilotnov, 7.451
oscil_dcop_45, 0.832
bfwb62, 0.23
plsk1919, 4.857
freeFlyingRobot_10, 22.464
dw1024, 4.967
flower_7_4, 163.66
west0381, 1.082
circuit204, 3.034
lp_pds_20, 136.489
pltexpa, 69.366
oscil_dcop_35, 0.832
rdb1250l, 3.545
cavity01, 3.725
olm100, 0.201
G45, 10.286
fpga_dcop_37, 3.045
dwt_193, 1.943
c-41, 59.831
lpi_cplex2, 0.641
p2p-Gnutella06, 20.261
can_268, 1.773
bcsstm01, 0.08
mk10-b4, 2.283
lowThrust_3, 45.81
rosen10, 38.729
G10, 19.4
lshp1561, 6.349
lshp3466, 14.061
dataset16mfeatkarhunen_10NN, 14.712
jan99jac100sc, 114.224
ex22, 11.658
bips98_606, 18.509
blckhole, 8.833
xenon1, 603.132
c-26, 20.982
GD01_a, 0.46
lp_fit1p, 5.148
crack_dual, 30.056
oscil_dcop_40, 0.841
freeFlyingRobot_7, 17.447
lp_grow15, 2.815
Franz3, 5.519
mhd4800b, 17.447
Zd_Jac3, 1262.6
tumorAntiAngiogenesis_3, 2.293
oscil_dcop_20, 0.841
reorientation_5, 19.991
scagr7-2b, 17.156
ca-GrQc, 18.227
bcsstk19, 4.066
fv1, 48.153
kineticBatchReactor_4, 43.507
G18, 4.938
tumorAntiAngiogenesis_6, 2.754
eris1176, 10.736
fpga_dcop_06, 3.195
xingo_afonso_itaipu, 26.26
lhr07c, 85.851
1138_bus, 3.656
oscil_dcop_04, 0.832
can_73, 0.25
cavity06, 16.865
p2p-Gnutella25, 37.137
G47, 10.296
Stranke94, 0.06
t2dah, 96.087
s1rmt3m1, 113.824
c-25, 28.423
west0167, 0.28
lp_ship12l, 8.703
stoch_aircraft, 9.695
lpi_mondou2, 0.701
D6-6, 140.475
divorce, 0.13
lp_brandy, 1.192
adder_dcop_17, 6.931
can_1072, 7.131
n3c6-b8, 21.213
lp_lotfi, 0.621
n4c6-b14, 6.61
G67, 19.119
ca-CondMat, 185.374
S80PI_n1, 5.058
Binaryalphadigs_10NN, 10.336
fpga_dcop_04, 3.145
c-48, 100.794
GD01_b, 0.04
mult_dcop_02, 183.872
utm3060, 22.003
TSOPF_RS_b9_c6, 25.93
t2dal_bci, 21.183
GL6_D_7, 3.035
fpga_dcop_21, 3.065
odepa400, 0.591
saylr4, 13.781
wheel_6_1, 0.14
gyro, 583.783
Maragal_7, 782.426
dwt_346, 2.023
lpi_klein2, 2.784
G14, 5.117
nemeth24, 905.535
dbir1, 722.895
de063157, 2.724
fpga_dcop_12, 3.045
beause, 28.053
EX2, 4.387
freeFlyingRobot_5, 13.701
dwt_1005, 5.338
adder_dcop_65, 6.851
dynamicSoaringProblem_4, 20.231
whitaker3_dual, 27.442
har_10NN, 110.89
rdb800l, 2.273
soc-sign-bitcoin-otc, 23.235
QRpivot, 2.013
mark3jac080, 123.379
str_0, 1.282
kineticBatchReactor_9, 50.227
bips07_1693, 26.521
ex29, 11.417
ex36, 28.364
oscil_dcop_06, 0.832
robot, 0.451
lund_a, 1.332
pores_1, 0.101
bcsstm25, 20.992
cz628, 3.295
fpga_dcop_10, 3.085
bloweybl, 74.734
adder_dcop_46, 6.85
lhr11c, 129.838
