Filename,SABLE(ns)
eris1176,8633.8875
std1_Jac3,125102.39375
lp_wood1p,10402.78125
jendrec1,10633.59375
lowThrust_5,23275.23125
hangGlider_4,18513.475
brainpc2,27051.9625
hangGlider_3,14433.61875
lowThrust_7,24155.325
lowThrust_11,25046.5375
lowThrust_3,12749.35625
lowThrust_6,23893.7
lowThrust_12,25420.53125
hangGlider_5,19091.775
Journals,2864.86875
bloweybl,26286.6875
heart1,72250.93125
TSOPF_FS_b9_c6,23443.0625
Sieber,9014.34375
case9,23645.725
c-30,14612.58125
c-32,12460.425
freeFlyingRobot_10,10738.71875
freeFlyingRobot_11,10838.725
freeFlyingRobot_12,10899.24375
lowThrust_10,24174.24375
lowThrust_13,24163.81875
lowThrust_4,17637.225
lowThrust_8,23691.0625
lowThrust_9,24225.93125
lp_fit2p,12843.98125
nd12k,1814118.45
std1_Jac2,103339.18125
vsp_c-30_data_data,14786.61875
