Filename,SABLE(ns)
eris1176,7677.25
std1_Jac3,345225.35
lp_wood1p,13879.49375
jendrec1,14423.8
lowThrust_5,41815.0
hangGlider_4,34197.70625
brainpc2,63618.09375
hangGlider_3,24132.61875
lowThrust_7,43154.33125
lowThrust_11,44828.34375
lowThrust_3,20162.4375
lowThrust_6,43240.3
lowThrust_12,44786.225
hangGlider_5,34787.78125
Journals,2196.54375
bloweybl,60325.11875
heart1,245533.3125
TSOPF_FS_b9_c6,36612.34375
Sieber,8548.191358024691
case9,36264.53125
c-30,18785.15625
c-32,17512.66875
freeFlyingRobot_10,14056.25
freeFlyingRobot_11,14409.39375
freeFlyingRobot_12,14497.8125
lowThrust_10,45789.4125
lowThrust_13,44215.825
lowThrust_4,32833.31875
lowThrust_8,44479.9375
lowThrust_9,44626.9625
lp_fit2p,14384.08125
nd12k,6327560.53125
std1_Jac2,293483.5125
vsp_c-30_data_data,27118.66875
