Matrix,Time(ns)
eris1176,8343.0
std1_Jac3_db,127720.0
std1_Jac3,323250.0
lp_wood1p,13173.0
jendrec1,17173.0
lowThrust_5,63391.0
hangGlider_4,44808.0
brainpc2,63601.0
hangGlider_3,30236.0
lowThrust_7,57543.0
lowThrust_11,67460.0
lowThrust_3,27332.0
lowThrust_6,62335.0
lowThrust_12,67321.0
hangGlider_5,45830.0
Journals,3369.0
bloweybl,71395.0
heart1,255031.0
TSOPF_FS_b9_c6,44256.0
Sieber,8860.0
case9,44272.0
c-30,19711.0
vsp_c-30_data_data,33364.0
c-32,19314.0
freeFlyingRobot_10,15313.0
freeFlyingRobot_11,16365.0
freeFlyingRobot_12,17216.0
lowThrust_10,67830.0
lowThrust_13,67565.0
lowThrust_4,50843.0
lowThrust_8,63666.0
lowThrust_9,64389.0
lp_fit2p,13437.0
nd12k,6506880.0
std1_Jac2_db,105797.0
std1_Jac2,304511.0
