Matrix,Time(ns)
eris1176,7120.5375
std1_Jac3,183193.50625
lp_wood1p,10283.24375
jendrec1,10506.875
lowThrust_5,25200.38125
hangGlider_4,19688.26875
brainpc2,35759.375
hangGlider_3,13951.728395061727
lowThrust_7,27028.41875
lowThrust_11,27950.1625
lowThrust_3,12820.3625
lowThrust_6,26049.14375
lowThrust_12,28627.975
hangGlider_5,20100.96875
Journals,4467.4
bloweybl,30679.09375
heart1,129639.35
TSOPF_FS_b9_c6,25336.2125
Sieber,6786.975
case9,25631.18125
c-30,13581.5625
vsp_c-30_data_data,17094.29375
c-32,13012.70625
freeFlyingRobot_10,10081.3625
freeFlyingRobot_11,10350.6
freeFlyingRobot_12,10484.4
lowThrust_10,27857.413580246914
lowThrust_13,27436.15
lowThrust_4,21305.65625
lowThrust_8,26621.625
lowThrust_9,27211.6625
lp_fit2p,8882.8875
nd12k,3442931.85625
std1_Jac2,158595.625
